
 Number of trials (observations) per subject (including all 6 activities): train data 
idNum
  1   3   5   6   7   8  11  14  15  16  17  19  21  22  23  25  26  27  28  29  30 
347 341 302 325 308 281 316 323 328 366 368 360 408 321 372 409 392 376 382 344 383 
Total train observations:  7352 

 Number of trials (observations) per subject (including all  activities): test data
idNum
  2   4   9  10  12  13  18  20  24 
302 317 288 294 320 327 364 354 381 
Total test observations:  2947 

 Frequency table: Number of Observations, Subject by Activity
ID testOrTrain 1-WALKING 2-WALKING_UPSTAIRS 3-WALKING_DOWNSTAIRS 4-SITTING 5-STANDING 6-LAYING
1 TRAIN 50 47 53 95 49 53
2 TEST 48 46 54 59 47 48
3 TRAIN 62 52 61 58 49 59
4 TEST 54 50 56 60 45 52
5 TRAIN 52 44 56 56 47 47
6 TRAIN 57 55 57 57 48 51
7 TRAIN 52 48 53 57 47 51
8 TRAIN 54 46 54 48 38 41
9 TEST 50 50 45 52 42 49
10 TEST 58 54 44 53 38 47
11 TRAIN 57 53 47 59 46 54
12 TEST 60 51 61 50 46 52
13 TEST 62 49 57 57 47 55
14 TRAIN 51 54 60 59 45 54
15 TRAIN 72 59 53 54 42 48
16 TRAIN 70 69 78 51 47 51
17 TRAIN 71 64 78 61 46 48
18 TEST 65 57 73 56 55 58
19 TRAIN 83 73 73 52 39 40
20 TEST 68 66 73 51 45 51
21 TRAIN 90 85 89 52 45 47
22 TRAIN 72 62 63 46 36 42
23 TRAIN 72 68 68 59 54 51
24 TEST 72 68 69 58 55 59
25 TRAIN 73 65 74 74 58 65
26 TRAIN 76 78 74 59 50 55
27 TRAIN 74 70 80 57 44 51
28 TRAIN 80 72 79 54 46 51
29 TRAIN 69 60 65 53 48 49
30 TRAIN 70 62 59 65 62 65
